series_id,state,qtr_end,value_q,rule,q
A124797473K,VIC,1989-09-30,2131,NA,1989Q3
A124797473K,VIC,1989-12-31,2239,NA,1989Q4
A124797473K,VIC,1990-03-31,2059,NA,1990Q1
A124797473K,VIC,1990-06-30,2010,NA,1990Q2
A124797473K,VIC,1990-09-30,1946,NA,1990Q3
A124797473K,VIC,1990-12-31,1645,NA,1990Q4
A124797473K,VIC,1991-03-31,1623,NA,1991Q1
A124797473K,VIC,1991-06-30,1504,NA,1991Q2
A124797473K,VIC,1991-09-30,1414,NA,1991Q3
A124797473K,VIC,1991-12-31,1307,NA,1991Q4
A124797473K,VIC,1992-03-31,1391,NA,1992Q1
A124797473K,VIC,1992-06-30,1376,NA,1992Q2
A124797473K,VIC,1992-09-30,1324,NA,1992Q3
A124797473K,VIC,1992-12-31,1424,NA,1992Q4
A124797473K,VIC,1993-03-31,1434,NA,1993Q1
A124797473K,VIC,1993-06-30,1592,NA,1993Q2
A124797473K,VIC,1993-09-30,1766,NA,1993Q3
A124797473K,VIC,1993-12-31,1903,NA,1993Q4
A124797473K,VIC,1994-03-31,1717,NA,1994Q1
A124797473K,VIC,1994-06-30,1777,NA,1994Q2
A124797473K,VIC,1994-09-30,1986,NA,1994Q3
A124797473K,VIC,1994-12-31,1754,NA,1994Q4
A124797473K,VIC,1995-03-31,2119,NA,1995Q1
A124797473K,VIC,1995-06-30,2012,NA,1995Q2
A124797473K,VIC,1995-09-30,2295,NA,1995Q3
A124797473K,VIC,1995-12-31,2362,NA,1995Q4
A124797473K,VIC,1996-03-31,2859,NA,1996Q1
A124797473K,VIC,1996-06-30,3087,NA,1996Q2
A124797473K,VIC,1996-09-30,2818,NA,1996Q3
A124797473K,VIC,1996-12-31,3176,NA,1996Q4
A124797473K,VIC,1997-03-31,3224,NA,1997Q1
A124797473K,VIC,1997-06-30,3597,NA,1997Q2
A124797473K,VIC,1997-09-30,2883,NA,1997Q3
A124797473K,VIC,1997-12-31,3264,NA,1997Q4
A124797473K,VIC,1998-03-31,3180,NA,1998Q1
A124797473K,VIC,1998-06-30,3330,NA,1998Q2
A124797473K,VIC,1998-09-30,3340,NA,1998Q3
A124797473K,VIC,1998-12-31,3204,NA,1998Q4
A124797473K,VIC,1999-03-31,3568,NA,1999Q1
A124797473K,VIC,1999-06-30,3430,NA,1999Q2
A124797473K,VIC,1999-09-30,3563,NA,1999Q3
A124797473K,VIC,1999-12-31,3531,NA,1999Q4
A124797473K,VIC,2000-03-31,3590,NA,2000Q1
A124797473K,VIC,2000-06-30,3528,NA,2000Q2
A124797473K,VIC,2000-09-30,3667,NA,2000Q3
A124797473K,VIC,2000-12-31,3242,NA,2000Q4
A124797473K,VIC,2001-03-31,3379,NA,2001Q1
A124797473K,VIC,2001-06-30,3497,NA,2001Q2
A124797473K,VIC,2001-09-30,3279,NA,2001Q3
A124797473K,VIC,2001-12-31,3538,NA,2001Q4
A124797473K,VIC,2002-03-31,3506,NA,2002Q1
A124797473K,VIC,2002-06-30,3810,NA,2002Q2
A124797473K,VIC,2002-09-30,4071,NA,2002Q3
A124797473K,VIC,2002-12-31,4311,NA,2002Q4
A124797473K,VIC,2003-03-31,4304,NA,2003Q1
A124797473K,VIC,2003-06-30,4103,NA,2003Q2
A124797473K,VIC,2003-09-30,4432,NA,2003Q3
A124797473K,VIC,2003-12-31,4255,NA,2003Q4
A124797473K,VIC,2004-03-31,4173,NA,2004Q1
A124797473K,VIC,2004-06-30,4095,NA,2004Q2
A124797473K,VIC,2004-09-30,4186,NA,2004Q3
A124797473K,VIC,2004-12-31,4790,NA,2004Q4
A124797473K,VIC,2005-03-31,4719,NA,2005Q1
A124797473K,VIC,2005-06-30,5023,NA,2005Q2
A124797473K,VIC,2005-09-30,5158,NA,2005Q3
A124797473K,VIC,2005-12-31,5808,NA,2005Q4
A124797473K,VIC,2006-03-31,5925,NA,2006Q1
A124797473K,VIC,2006-06-30,6018,NA,2006Q2
A124797473K,VIC,2006-09-30,6169,NA,2006Q3
A124797473K,VIC,2006-12-31,5837,NA,2006Q4
A124797473K,VIC,2007-03-31,6660,NA,2007Q1
A124797473K,VIC,2007-06-30,6232,NA,2007Q2
A124797473K,VIC,2007-09-30,6577,NA,2007Q3
A124797473K,VIC,2007-12-31,6368,NA,2007Q4
A124797473K,VIC,2008-03-31,6216,NA,2008Q1
A124797473K,VIC,2008-06-30,6612,NA,2008Q2
A124797473K,VIC,2008-09-30,6492,NA,2008Q3
A124797473K,VIC,2008-12-31,6932,NA,2008Q4
A124797473K,VIC,2009-03-31,6594,NA,2009Q1
A124797473K,VIC,2009-06-30,7406,NA,2009Q2
A124797473K,VIC,2009-09-30,6774,NA,2009Q3
A124797473K,VIC,2009-12-31,7811,NA,2009Q4
A124797473K,VIC,2010-03-31,7738,NA,2010Q1
A124797473K,VIC,2010-06-30,7296,NA,2010Q2
A124797473K,VIC,2010-09-30,6686,NA,2010Q3
A124797473K,VIC,2010-12-31,7106,NA,2010Q4
A124797473K,VIC,2011-03-31,7593,NA,2011Q1
A124797473K,VIC,2011-06-30,7179,NA,2011Q2
A124797473K,VIC,2011-09-30,7341,NA,2011Q3
A124797473K,VIC,2011-12-31,6777,NA,2011Q4
A124797473K,VIC,2012-03-31,6609,NA,2012Q1
A124797473K,VIC,2012-06-30,6477,NA,2012Q2
A124797473K,VIC,2012-09-30,6657,NA,2012Q3
A124797473K,VIC,2012-12-31,6323,NA,2012Q4
A124797473K,VIC,2013-03-31,6120,NA,2013Q1
A124797473K,VIC,2013-06-30,6034,NA,2013Q2
A124797473K,VIC,2013-09-30,6329,NA,2013Q3
A124797473K,VIC,2013-12-31,5851,NA,2013Q4
A124797473K,VIC,2014-03-31,5811,NA,2014Q1
A124797473K,VIC,2014-06-30,6256,NA,2014Q2
A124797473K,VIC,2014-09-30,5813,NA,2014Q3
A124797473K,VIC,2014-12-31,6290,NA,2014Q4
A124797473K,VIC,2015-03-31,6331,NA,2015Q1
A124797473K,VIC,2015-06-30,6408,NA,2015Q2
A124797473K,VIC,2015-09-30,6234,NA,2015Q3
A124797473K,VIC,2015-12-31,6419,NA,2015Q4
A124797473K,VIC,2016-03-31,6488,NA,2016Q1
A124797473K,VIC,2016-06-30,6533,NA,2016Q2
