series_id,state,last_obs_date,last_obs_q_end,last_q,days_since_last
FCMYGBAG10D,AUS,2025-09-17,2025-09-30,2025Q3,6
FCMYGBAG2D,AUS,2025-09-17,2025-09-30,2025Q3,6
FIRMMCRT,AUS,2025-08-31,2025-09-30,2025Q3,23
A84423043C,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423050A,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423265K,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423270C,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423279X,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423284T,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423293V,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423298F,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423321T,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423326C,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423349V,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423354L,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423363R,AUS,2025-08-01,2025-09-30,2025Q3,53
A84423368A,AUS,2025-08-01,2025-09-30,2025Q3,53
A84426249R,NSW,2025-08-01,2025-09-30,2025Q3,53
A84426250X,QLD,2025-08-01,2025-09-30,2025Q3,53
A84426251A,TAS,2025-08-01,2025-09-30,2025Q3,53
A84426253F,ACT,2025-08-01,2025-09-30,2025Q3,53
A84426254J,WA,2025-08-01,2025-09-30,2025Q3,53
A84426255K,NT,2025-08-01,2025-09-30,2025Q3,53
A84426256L,VIC,2025-08-01,2025-09-30,2025Q3,53
A84426257R,SA,2025-08-01,2025-09-30,2025Q3,53
DLCACIHS,AUS,2025-07-31,2025-09-30,2025Q3,54
DLCACOHS,AUS,2025-07-31,2025-09-30,2025Q3,54
A124873641L,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873731T,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873737F,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873743A,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873803T,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873815A,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873821W,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873881X,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873887L,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873965J,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873971C,AUS,2025-07-01,2025-09-30,2025Q3,84
A124873977T,AUS,2025-07-01,2025-09-30,2025Q3,84
A124874157C,AUS,2025-07-01,2025-09-30,2025Q3,84
