"","series_id","series_label","state","state_code","date","value","freq","unit","sa_flag","source","frequency","table_title","description"
"1","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1948-09-01,3.7,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"2","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1948-12-01,3.8,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"3","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1949-03-01,3.9,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"4","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1949-06-01,4,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"5","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1949-09-01,4.1,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"6","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1949-12-01,4.1,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"7","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1950-03-01,4.2,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"8","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1950-06-01,4.3,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"9","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1950-09-01,4.4,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"10","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1950-12-01,4.6,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"11","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1951-03-01,4.8,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"12","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1951-06-01,5.1,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
"13","A2325846C","Index Numbers ; All groups CPI ; Australia ;","AUS","AUS",1951-09-01,5.3,"Q","Index Numbers","Original",NA,"Quarterly","TABLES 1 and 2. CPI: All Groups, Index Numbers and Percentage Changes",NA
