source,group,abs_cat,table,series_id,alias,freq,sa_flag,unit,transform,rba_table,rba_series,geo,geo_name,geo_level,series_title,multiplier,price_base,start_date,end_date,vintage_date,download_fn,download_args,topic,priority,notes,provenance_url,rba_series_id,series_label,agg_rule
ABS,retail,8501,RT,A3348585R,retail_1,M,SA,$m,NA,NA,NA,AUS,Australia,Nation,NA,NA,NA,NA,NA,NA,readabs,"{""catalog"": 8501.0, ""table"": ""RT"", ""series_id"": ""A3348585R"", ""state"": ""AUS""}",NA,NA,NA,NA,NA,retail_1,sum
ABS,retail,8501,RT,A3348648L,retail_2,M,SA,$m,NA,NA,NA,NSW,New South Wales,State/Territory,NA,NA,NA,NA,NA,NA,readabs,"{""catalog"": 8501.0, ""table"": ""RT"", ""series_id"": ""A3348648L"", ""state"": ""NSW""}",NA,NA,NA,NA,NA,retail_2,sum
ABS,retail,8501,RT,A3348711T,retail_3,M,SA,$m,NA,NA,NA,VIC,Victoria,State/Territory,NA,NA,NA,NA,NA,NA,readabs,"{""catalog"": 8501.0, ""table"": ""RT"", ""series_id"": ""A3348711T"", ""state"": ""VIC""}",NA,NA,NA,NA,NA,retail_3,sum
ABS,retail,8501,RT,A3348774A,retail_4,M,SA,$m,NA,NA,NA,QLD,Queensland,State/Territory,NA,NA,NA,NA,NA,NA,readabs,"{""catalog"": 8501.0, ""table"": ""RT"", ""series_id"": ""A3348774A"", ""state"": ""QLD""}",NA,NA,NA,NA,NA,retail_4,sum
ABS,retail,8501,RT,A3348837X,retail_5,M,SA,$m,NA,NA,NA,SA,South Australia,State/Territory,NA,NA,NA,NA,NA,NA,readabs,"{""catalog"": 8501.0, ""table"": ""RT"", ""series_id"": ""A3348837X"", ""state"": ""SA""}",NA,NA,NA,NA,NA,retail_5,sum
ABS,retail,8501,RT,A3348900C,retail_6,M,SA,$m,NA,NA,NA,WA,Western Australia,State/Territory,NA,NA,NA,NA,NA,NA,readabs,"{""catalog"": 8501.0, ""table"": ""RT"", ""series_id"": ""A3348900C"", ""state"": ""WA""}",NA,NA,NA,NA,NA,retail_6,sum
ABS,retail,8501,RT,A3348963L,retail_7,M,SA,$m,NA,NA,NA,TAS,Tasmania,State/Territory,NA,NA,NA,NA,NA,NA,readabs,"{""catalog"": 8501.0, ""table"": ""RT"", ""series_id"": ""A3348963L"", ""state"": ""TAS""}",NA,NA,NA,NA,NA,retail_7,sum
ABS,retail,8501,RT,A3349026L,retail_8,M,SA,$m,NA,NA,NA,NT,Northern Territory,State/Territory,NA,NA,NA,NA,NA,NA,readabs,"{""catalog"": 8501.0, ""table"": ""RT"", ""series_id"": ""A3349026L"", ""state"": ""NT""}",NA,NA,NA,NA,NA,retail_8,sum
ABS,retail,8501,RT,A3349089W,retail_9,M,SA,$m,NA,NA,NA,ACT,Australian Capital Territory,State/Territory,NA,NA,NA,NA,NA,NA,readabs,"{""catalog"": 8501.0, ""table"": ""RT"", ""series_id"": ""A3349089W"", ""state"": ""ACT""}",NA,NA,NA,NA,NA,retail_9,sum
ABS,cpi,6401,CPI,A2325806K,cpi_1,Q,nil,index,NA,NA,NA,NSW,Sydney,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpi_1,mean
ABS,cpi,6401,CPI,A2325811C,cpi_2,Q,nil,index,NA,NA,NA,VIC,Melbourne,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpi_2,mean
ABS,cpi,6401,CPI,A2325816R,cpi_3,Q,nil,index,NA,NA,NA,QLD,Brisbane,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpi_3,mean
ABS,cpi,6401,CPI,A2325821J,cpi_4,Q,nil,index,NA,NA,NA,SA,Adelaide,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpi_4,mean
ABS,cpi,6401,CPI,A2325826V,cpi_5,Q,nil,index,NA,NA,NA,WA,Perth,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpi_5,mean
ABS,cpi,6401,CPI,A2325831L,cpi_6,Q,nil,index,NA,NA,NA,TAS,Hobart,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpi_6,mean
ABS,cpi,6401,CPI,A2325836X,cpi_7,Q,nil,index,NA,NA,NA,NT,Darwin,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpi_7,mean
ABS,cpi,6401,CPI,A2325841T,cpi_8,Q,nil,index,NA,NA,NA,ACT,Canberra,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpi_8,mean
ABS,cpi,6401,CPI,A2325846C,cpi_9,Q,nil,index,NA,NA,NA,AUS,Australia,Nation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpi_9,mean
ABS,labour,6202,LF,A84423043C,lf_1,M,SA,0,NA,NA,NA,AUS,Australia,Nation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lf_1,mean
ABS,labour,6202,LF,A84423265K,lf_2,M,SA,0,NA,NA,NA,NSW,New South Wales,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lf_2,mean
ABS,labour,6202,LF,A84423349V,lf_3,M,SA,0,NA,NA,NA,VIC,Victoria,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lf_3,mean
ABS,labour,6202,LF,A84423279X,lf_4,M,SA,0,NA,NA,NA,QLD,Queensland,State/Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lf_4,mean
