source,group,abs_cat,table,series_id,alias,freq,sa_flag,unit,transform,rba_table,rba_series,geo,geo_name,geo_level,series_title,multiplier,price_base,start_date,end_date,vintage_date,download_fn,download_args,topic,priority,notes,provenance_url,rba_series_id
ABS,gdp,5206,GDP,A2304418T,gdp_aus,Q,SA,$ Millions,qoq_logdiff,,,AUS,Australia,national,Gross Domestic Product,,,,,,readabs,,output,high,KEEP national real GDP (CVM),,
ABS,cpi,6401,,A2325846C,cpi_aus,Q,,Index,dlog1,,,AUS,Australia,national,CPI: All groups; Australia; Index Numbers; (Weighted average of eight capital cities,,,,,,readabs,,consumer price index,,,,
ABS,external,5368,ITG,A2718577A,imports_goods_aus,M,SA,$ Millions,dlog1,,,AUS,Australia,national,"Imports of goods, Australia, SA",,,,,,readabs,,external,medium,KEEP national goods trade,,
ABS,external,5368,ITG,A2718594C,exports_goods_aus,M,SA,$ Millions,dlog1,,,AUS,Australia,national,"Exports of goods, Australia, SA",,,,,,readabs,,external,medium,KEEP national goods trade,,
ABS,business_activity,,BTI_total_13_divisions,A124874157C,bti_total_13div_sa,M,SA,Index,dlog1,,,AUS,Australia,national,"Business Turnover Index, total (13-division), SA",,,,,,readabs,,business,medium,KEEP aggregate BTI; drop industry sub-indices,,
RBA,inflation,,,GCPIOCPMTMQP,trimmed_mean_inflation_aus,Q,SA,Percent,qoq_logdiff,,,AUS,Australia,national,CPI – Trimmed Mean (RBA core measure),,,,,,readrba,,prices,high,KEEP core inflation; prefer over headline CPI,,
RBA,policy_rate,,,FIRMMCRT,cash_rate_target,M,ORIGINAL,Percent,dlog1,,,AUS,Australia,national,Cash Rate Target,,,,,,readrba,,financial,high,KEEP policy rate,,
RBA,credit,,,DLCACS,credit_total_rba,M,SA,$ Billions,dlog1,,,AUS,Australia,national,Credit – Total (RBA),,,,,,readrba,,financial,medium,KEEP total credit; drop components,,
RBA,traded weghit index,,,FXRTWI,twi,M,,Index,dlog1,f11,,AUS,Australia,nattional,Traded Wieghted Index,,,,,,readrba,,currency,,,,
RBA,commodity_price,,,GRCPAISDR,cmpi,M,,Index,dlog1,i2,,AUS,Australia,national,Commodity price index,,,,,,readrba,,,,,,
ABS,sfd,,"Table 25. State Final Demand, Summary Components by State: Chain volume measures",A2303111F,sfd_1,Q,SA,$ m,qoq_logdiff,,,NSW,New South Wales,state,,,,,,,,,,,,,
ABS,sfd,,"Table 25. State Final Demand, Summary Components by State: Chain volume measures",A2303139J,sfd_2,Q,SA,$ m,qoq_logdiff,,,VIC,Victoria,state,,,,,,,,,,,,,
ABS,sfd,,"Table 25. State Final Demand, Summary Components by State: Chain volume measures",A2303187A,sfd_3,Q,SA,$ m,qoq_logdiff,,,QLD,Queensland,state,,,,,,,,,,,,,
ABS,sfd,,"Table 25. State Final Demand, Summary Components by State: Chain volume measures",A2302956R,sfd_4,Q,SA,$ m,qoq_logdiff,,,SA,South Australia,state,,,,,,,,,,,,,
ABS,sfd,,"Table 25. State Final Demand, Summary Components by State: Chain volume measures",A2302984X,sfd_5,Q,SA,$ m,qoq_logdiff,,,WA,Western Australia,state,,,,,,,,,,,,,
ABS,sfd,,"Table 25. State Final Demand, Summary Components by State: Chain volume measures",A2303012X,sfd_6,Q,SA,$ m,qoq_logdiff,,,TAS,Tasmania,state,,,,,,,,,,,,,
ABS,sfd,,"Table 25. State Final Demand, Summary Components by State: Chain volume measures",A2303040J,sfd_7,Q,SA,$ m,qoq_logdiff,,,NT,Northern Territory,state,,,,,,,,,,,,,
ABS,sfd,,"Table 25. State Final Demand, Summary Components by State: Chain volume measures",A2303068K,sfd_8,Q,SA,$ m,qoq_logdiff,,,ACT,Australian Capital Territory,state,,,,,,,,,,,,,
ABS,gsp,5220,GSP,A2336320R,gsp_nsw_currp_a,A,Original,$ Millions,log,,,NSW,New South Wales,state,Gross state product: Current prices (Annual),1,,,,,readabs,"{""cat_no"":""5220.0""}",annual_constraint,,Annual GSP level (current prices) for annual measurement constraint,,
ABS,gsp,5220,GSP,A2336321T,gsp_vic_currp_a,A,Original,$ Millions,log,,,VIC,Victoria,state,Gross state product: Current prices (Annual),1,,,,,readabs,"{""cat_no"":""5220.0""}",annual_constraint,,Annual GSP level (current prices) for annual measurement constraint,,
ABS,gsp,5220,GSP,A2336322V,gsp_qld_currp_a,A,Original,$ Millions,log,,,QLD,Queensland,state,Gross state product: Current prices (Annual),1,,,,,readabs,"{""cat_no"":""5220.0""}",annual_constraint,,Annual GSP level (current prices) for annual measurement constraint,,
ABS,gsp,5220,GSP,A2336323W,gsp_sa_currp_a,A,Original,$ Millions,log,,,SA,South Australia,state,Gross state product: Current prices (Annual),1,,,,,readabs,"{""cat_no"":""5220.0""}",annual_constraint,,Annual GSP level (current prices) for annual measurement constraint,,
ABS,gsp,5220,GSP,A2336324X,gsp_wa_currp_a,A,Original,$ Millions,log,,,WA,Western Australia,state,Gross state product: Current prices (Annual),1,,,,,readabs,"{""cat_no"":""5220.0""}",annual_constraint,,Annual GSP level (current prices) for annual measurement constraint,,
ABS,gsp,5220,GSP,A2336325A,gsp_tas_currp_a,A,Original,$ Millions,log,,,TAS,Tasmania,state,Gross state product: Current prices (Annual),1,,,,,readabs,"{""cat_no"":""5220.0""}",annual_constraint,,Annual GSP level (current prices) for annual measurement constraint,,
ABS,gsp,5220,GSP,A2336326C,gsp_nt_currp_a,A,Original,$ Millions,log,,,NT,Northern Territory,state,Gross state product: Current prices (Annual),1,,,,,readabs,"{""cat_no"":""5220.0""}",annual_constraint,,Annual GSP level (current prices) for annual measurement constraint,,
ABS,gsp,5220,GSP,A2336327F,gsp_act_currp_a,A,Original,$ Millions,log,,,ACT,Australian Capital Territory,state,Gross state product: Current prices (Annual),1,,,,,readabs,"{""cat_no"":""5220.0""}",annual_constraint,,Annual GSP level (current prices) for annual measurement constraint,,
